SYMBOL,DELIV_PER
GICHSGFIN,49.23
GICL,40.15
GICRE,51.23
GILLANDERS,72.31
GILLETTE,52.02
GILT10BETA,99.03
GILT5BETA,66.71
GILT5YBEES,79.32
GINNIFILA,66.61
GIPCL,49.79
GKENERGY,34.72
GKSL,39.8
GKWLIMITED,66.13
GLAND,63.48
GLAXO,54.91
GLENMARK,50.18
GLFL,100.0
GLOBAL,67.98
GLOBALE,94.06
GLOBALVECT,67.4
GLOBE,70.55
GLOBECIVIL,33.66
GLOBUSSPR,43.2
GLOSTERLTD,67.58
GLOTTIS,29.54
GMBREW,43.56
GMDCLTD,28.1
GMMPFAUDLR,54.81
GMRAIRPORT,57.91
GMRP&UI,42.72
GNA,43.57
GNFC,53.59
GOACARBON,60.84
GOCLCORP,41.13
GOCOLORS,37.19
GODAVARIB,42.84
GODFRYPHLP,31.18
GODIGIT,56.52
GODREJAGRO,36.93
GODREJCP,58.05
GODREJIND,44.54
GODREJPROP,36.07
GOKEX,32.44
GOKUL,66.56
GOKULAGRO,33.27
GOLD1,64.46
GOLD360,64.9
GOLDADD,42.36
GOLDBEES,70.02
GOLDBETA,68.42
GOLDBND,71.65
GOLDCASE,44.25
GOLDETF,49.83
GOLDIAM,31.79
GOLDIETF,58.12
GOLDTECH,54.62
GOODLUCK,58.88
GOPAL,28.48
GOYALALUM,59.94
GPIL,38.9
GPPL,55.73
GPTHEALTH,48.24
GPTINFRA,55.45
GRANULES,39.56
GRAPHITE,24.23
GRASIM,57.7
GRAVITA,32.95
GREAVESCOT,34.42
GREENLAM,47.55
GREENPANEL,53.98
GREENPLY,40.61
GREENPOWER,29.0
GRINDWELL,64.15
GRINFRA,55.44
GRMOVER,11.9
GROBTEA,72.13
GROWW,21.05
GROWWCAPM,62.05
GROWWCHEM,33.19
GROWWDEFNC,69.34
GROWWEV,68.94
GROWWGOLD,38.8
GROWWHOSPI,75.62
GROWWLIQID,52.5
GROWWLOVOL,59.17
GROWWMC150,50.0
GROWWMETAL,34.31
GROWWMOM50,71.1
GROWWN200,33.78
GROWWNET,55.08
GROWWNIFTY,50.63
GROWWNXT50,42.5
GROWWPOWER,84.0
GROWWPSE,55.3
GROWWPSUBK,36.96
GROWWRAIL,63.95
GROWWRLTY,74.89
GROWWSC250,66.4
GROWWSLVR,47.86
GRPLTD,52.28
GRSE,22.89
GRWRHITECH,35.38
GSEC10ABSL,99.35
GSEC10IETF,99.77
GSEC10YEAR,53.56
GSEC5IETF,97.17
GSFC,38.47
GSLSU,65.15
GSPCROP,46.51
GSPL,50.92
GSS,51.06
GTECJAINX,52.39
GTL,58.93
GTLINFRA,48.41
GTPL,36.84
GUFICBIO,54.42
GUJALKALI,14.26
GUJAPOLLO,62.64
GUJGASLTD,55.0
GUJRAFFIA,82.86
GUJTHEM,51.7
GULFOILLUB,71.89
GULFPETRO,43.24
GULPOLY,43.8
GVPTECH,54.69
GVT&D,52.8
HAL,38.52
HALDER,63.2
HALEOSLABS,51.28
HAPPSTMNDS,43.84
HAPPYFORGE,46.13
HARDWYN,68.22
HARIOMPIPE,29.16
HARRMALAYA,70.36
HARSHA,57.89
HATHWAY,40.15
HATSUN,54.88
HAVELLS,51.59
HAVISHA,88.38
HBLENGINE,30.3
HBSL,75.49
HCC,44.7
HCG,43.69
HCL-INSYS,77.5
HCLTECH,51.89
HDBFS,60.39
HDFCAMC,49.29
HDFCBANK,39.82
HDFCBSE500,67.31
HDFCGOLD,48.13
HDFCGROWTH,88.84
HDFCLIFE,41.07
HDFCLIQUID,63.14
HDFCLOWVOL,92.72
HDFCMID150,54.07
HDFCMOMENT,60.15
HDFCNEXT50,64.1
HDFCNIF100,84.16
HDFCNIFBAN,59.33
HDFCNIFIT,69.13
HDFCNIFTY,83.16
HDFCPSUBK,43.17
HDFCPVTBAN,56.01
HDFCQUAL,86.62
HDFCSENSEX,66.01
HDFCSILVER,39.4
HDFCSML250,55.68
HDFCVALUE,62.38
HEADSUP,69.15
HEALTHADD,52.59
HEALTHCARE,53.3
HEALTHIETF,53.25
HEALTHY,67.02
HECPROJECT,61.64
HEG,30.92
HEIDELBERG,53.29
HEMIPROP,49.61
HERANBA,32.99
HERITGFOOD,31.42
HEROMOTOCO,42.82
HESTERBIO,57.74
HEXATRADEX,81.38
HEXT,49.0
HFCL,31.03
HGINFRA,35.0
HGM,63.17
HGS,49.18
HIKAL,37.63
HILINFRA,55.81
HILTON,58.17
HIMATSEIDE,47.11
HINDALCO,45.54
HINDCOMPOS,67.88
HINDCON,62.68
HINDCOPPER,24.9
HINDOILEXP,23.78
HINDPETRO,36.77
HINDUNILVR,55.21
HINDWAREAP,44.63
HINDZINC,42.59
HIRECT,13.37
HISARMETAL,78.52
HITECH,40.73
HITECHCORP,71.03
HLEGLAS,44.79
HLVLTD,51.7
HMAAGRO,75.06
HMVL,40.55
HNDFDS,45.14
HNGSNGBEES,53.44
HOMEFIRST,50.41
HONASA,44.88
HONAUT,39.48
HONDAPOWER,41.64
HPAL,52.28
HPIL,76.83
HPL,43.03
HSBCGOLD,46.26
HSCL,26.61
HTMEDIA,58.11
HUBTOWN,49.54
HUDCO,22.94
HUHTAMAKI,50.64
HYBRIDFIN,48.91
HYUNDAI,51.63
IBULLSLTD,43.93
ICEMAKE,36.35
ICICIAMC,56.23
ICICIB22,74.72
ICICIBANK,61.72
ICICIGI,52.83
ICICIPRULI,46.58
ICIL,44.04
ICRA,51.88
IDBI,28.11
IDEA,23.38
IDEAFORGE,36.05
IDFCFIRSTB,32.3
IDFNIFTYET,91.2
IEX,40.17
